"MLSNumber","StreetNumberNumeric","StreetName","City","CDOM","ListPrice","CurrentPrice","ClosePrice","PendingDate","CloseDate","SqFtTotal","SqFtLivArea","View","WaterView"
"A11212090","709","Aledo Ave","Coral Gables","15","3250000","2692900","2692900","2022-06-21","2022-07-15","","3179","Garden View, Pool Area View",""
"A11140546","1025","Hardee Rd","Coral Gables","9","3250000","3250000","3250000","2022-01-07","2022-02-04","3793","3100","Pool Area View",""
"A11735695","625","Jeronimo Dr","Coral Gables","80","3200000","2880000","2880000","2025-04-21","2025-05-21","3446","2775","Garden View, Other View",""
"A11685419","1215","Campo Sano Ave","Coral Gables","8","3200000","3000000","3000000","2024-11-15","2024-12-11","3729","2559","Golf View, Pool Area View",""
"A11644030","1334","Alhambra Cir","Coral Gables","322","3200000","2700000","2700000","2024-10-01","2024-11-12","4185","3668","Garden View",""
"A11525569","1036","Andalusia Ave","Coral Gables","3","3200000","3100000","3100000","2024-02-05","2024-03-11","5160","3030","Garden View, Pool Area View",""
"A11403252","1102","Obispo Ave","Coral Gables","49","3200000","3000000","3000000","2023-08-02","2023-09-14","4062","3303","None",""
"A11167066","2602","San Domingo St","Coral Gables","45","3200000","2910000","2910000","2022-04-14","2022-07-07","2996","2381","Garden View, Other View",""
"A11711299","1240","San Remo Ave","Coral Gables","39","3195000","3195000","3195000","2025-02-14","2025-04-11","3555","3555","Garden View, Pool Area View",""
"A11371693","5757","Michelangelo St","Coral Gables","3","3150000","3100000","3100000","2023-04-21","2023-06-02","3864","3138","Pool Area View",""
"A11293271","2806","Granada Blvd","Coral Gables","254","3095000","3000000","3000000","2023-03-12","2023-04-03","3689","3689","Garden View, Other View",""
"A11599455","705","Madeira Ave","Coral Gables","93","3045000","3045000","3045000","2024-06-15","2024-07-22","3418","2590","Garden View, Other View",""
"A11384464","1365","Alegriano Ave","Coral Gables","185","3000000","2800000","2800000","2023-11-07","2023-12-14","4953","3613","None",""
"A11194947","920","Andres Ave","Coral Gables","34","3000000","2850000","2850000","2022-06-02","2022-07-21","4138","3060","Garden View, Pool Area View",""
"A11451732","1254","Algardi Ave","Coral Gables","8","2999999","3125000","3125000","2023-09-27","2023-11-09","4087","3300","Garden View, Pool Area View",""
"A11454281","712","San Esteban Ave","Coral Gables","208","2999998","2750000","2750000","2024-04-14","2024-07-10","3968","3668","Garden View, Pool Area View",""
"A11412068","1122","Placetas Ave","Coral Gables","12","2999900","2840000","2840000","2023-07-13","2023-08-04","3588","2857","Other View",""
"A11245048","1405","Country Club Prado","Coral Gables","172","2997500","2850000","2850000","2023-01-10","2023-01-17","4874","3851","Garden View",""
"A11120198","1306","Castile Ave","Coral Gables","72","2996000","2900000","2900000","2022-01-26","2022-03-21","4208","3554","Garden View, Other View, Pool Area View",""
"A11719301","1024","Asturia Ave","Coral Gables","208","2995020","2925000","2925000","2025-01-27","2025-04-15","3260","3095","Garden View, Pool Area View",""
"A11647706","2615","Alhambra Cir","Coral Gables","129","2995000","2660000","2660000","2025-01-10","2025-02-10","3384","2878","None",""
"A11538630","935","Escobar Ave","Coral Gables","5","2995000","2995000","2995000","2024-02-28","2024-05-10","3212","2926","Garden View",""
"A11203185","4108","Palmarito St","Coral Gables","16","2995000","3050000","3050000","2022-05-27","2022-07-01","2711","2351","Garden View, Pool Area View",""
"A11182954","824","Anastasia Ave","Coral Gables","67","2995000","2900000","2900000","2022-06-29","2022-08-16","3474","2936","Garden View, Pool Area View",""
"A11118102","1400","Coral Way","Coral Gables","8","2995000","2800000","2800000","2021-11-06","2022-01-19","4213","3736","Garden View, Pool Area View",""
"A11734592","2842","De Soto Blvd","Coral Gables","6","2990000","2860000","2860000","2025-02-05","2025-03-07","2632","2172","Garden View",""
"A11275340","6925","Tordera St","Coral Gables","189","2990000","2650000","2650000","2023-03-29","2023-04-18","4187","3354","Garden View",""
"A11269858","224","Ridgewood Rd","Coral Gables","54","2990000","2600000","2600000","2022-11-01","2023-01-09","4765","3323","Garden View",""
"A11170345","4415","Monserrate St","Coral Gables","53","2990000","2667000","2667000","2022-04-29","2022-06-15","2845","2347","Garden View, Pool Area View",""
"A11276475","813","Anastasia Ave","Coral Gables","8","2975000","2955000","2955000","2022-10-14","2022-11-21","3992","3194","Garden View",""
"A11751583","705","Madeira Ave","Coral Gables","58","2950000","2687500","2687500","2025-04-24","2025-05-28","3418","2590","Garden View, Pool Area View",""
"A11560410","1109","Asturia Ave","Coral Gables","49","2950000","2900000","2900000","2024-05-20","2024-06-11","2770","2517","Garden View, Other View",""
"A11537289","2418","Country Club Prado","Coral Gables","6","2950000","2832500","2832500","2024-02-29","2024-05-13","3030","3030","Pool Area View",""
"A11289670","1021","Placetas Ave","Coral Gables","42","2950000","2700000","2700000","2022-12-09","2023-01-20","3825","2869","Garden View",""
"A11215310","4501","Santa Maria St","Coral Gables","153","2950000","2700000","2700000","2022-11-03","2023-01-31","4720","3441","Golf View, Other View",""
"A11630474","634","Altara Ave","Coral Gables","17","2940000","2750000","2750000","2024-08-12","2024-09-13","3999","2417","Garden View, Pool Area View",""
"A11229912","1203","Alhambra Cir","Coral Gables","4","2900000","2925000","2925000","2022-08-01","2022-09-01","3870","3142","Garden View",""
"A11581740","4108","Palmarito St","Coral Gables","5","2895000","3050000","3050000","2024-05-10","2024-06-24","2668","2308","Garden View, Pool Area View",""
"A11425238","3321","Toledo Plz","Coral Gables","8","2895000","3050000","3050000","2023-08-01","2023-09-08","4946","3501","Garden View",""
"A11285011","768","Alhambra Cir","Coral Gables","6","2895000","2650000","2650000","2022-10-12","2022-11-01","3722","2907","Garden View, Pool Area View",""
"A11339784","439","Savona Ave","Coral Gables","23","2890000","2670000","2670000","2023-03-03","2023-04-18","2962","2181","None",""
"F10453930","1421","Cordova St","Coral Gables","19","2875000","2725000","2725000","2024-09-13","2024-11-22","","2660","Garden View, Other View, Pool Area View",""
"A11757171","508","Caligula Ave","Coral Gables","277","2850000","2550000","2550000","2025-04-24","2025-06-02","3639","2939","Other View",""
"A11629420","637","Alcazar Ave","Coral Gables","126","2850000","2600000","2600000","2024-12-09","2025-02-07","3013","2785","Garden View, Pool Area View",""
"A11512856","1429","Garcia Ave","Coral Gables","103","2850000","2450000","2450000","2024-06-06","2024-07-31","3872","3053","Garden View, Pool Area View",""
"A11359400","1010","Hardee Rd","Coral Gables","226","2850000","2725000","2725000","2023-04-22","2023-05-22","3438","3129","Garden View, Other View",""
"A11291297","807","Jeronimo Dr","Coral Gables","183","2850000","2750000","2750000","2023-04-21","2023-05-31","4813","3963","Garden View, Pool Area View",""
"A11156870","5825","Maynada St","Coral Gables","18","2850000","2676000","2676000","2022-02-22","2022-03-23","4546","3624","Garden View",""
"A11519858","5514","San Vicente St","Coral Gables","321","2800000","2700000","2700000","2024-10-02","2024-12-02","3727","3217","None",""
"A11283828","2500","San Domingo St","Coral Gables","163","2799999","2600000","2600000","2023-01-10","2023-02-24","4491","3700","Garden View, Pool Area View",""
"A11701130","1212","Manati Ave","Coral Gables","368","2796000","2580000","2580000","2025-04-17","2025-05-13","4039","3389","Garden View",""
"A11776068","5210","Alhambra Cir","Coral Gables","67","2790000","2700000","2700000","2025-06-16","2025-07-16","3850","3002","Other View",""
"A11294877","4300","Monserrate St","Coral Gables","67","2789000","2525000","2525000","2023-01-02","2023-01-31","3571","3571","None",""
"A11751257","1133","Placetas Ave","Coral Gables","111","2765000","2420000","2420000","2025-06-18","2025-08-29","3617","3617","Garden View",""
"A11591800","5551","San Vicente St","Coral Gables","113","2750000","2400000","2400000","2024-09-11","2024-10-01","3392","2520","Other View",""
"A11431410","4739","San Amaro Dr","Coral Gables","83","2750000","2650000","2650000","2023-11-02","2023-12-18","2992","2447","Pool Area View",""
"A11337123","923","Escobar Ave","Coral Gables","39","2750000","2460000","2460000","2023-03-13","2023-06-02","3094","2652","Garden View",""
"A11170339","705","Madeira Ave","Coral Gables","4","2749000","2775000","2775000","2022-03-11","2022-05-11","3418","2590","Garden View",""
"A11627643","1025","Alhambra Cir","Coral Gables","7","2725000","2650000","2650000","2024-07-29","2024-08-23","3328","2690","Garden View, Pool Area View",""
"A11808005","1126","Manati Ave","Coral Gables","14","2700000","2619000","2619000","2025-06-10","2025-07-30","2898","2612","Garden View, Pool Area View",""
"A11797082","1254","Andalusia Ave","Coral Gables","113","2700000","2700000","2700000","2025-05-14","2025-06-16","","3150","Garden View, Pool Area View",""
"A11724260","510","Vittorio Ave","Coral Gables","19","2700000","2500000","2500000","2025-02-03","2025-03-17","2772","2252","Garden View, Pool Area View",""
"A11452616","1801","Cordova St","Coral Gables","320","2700000","2562500","2562500","2024-01-19","2024-03-05","3457","2841","Garden View, Other View",""
"A11385606","1149","Greenway Dr","Coral Gables","97","2700000","2425000","2425000","2023-08-15","2023-10-25","4588","3094","Garden View",""
"A11801140","826","Malaga Ave","Coral Gables","37","2699000","2600000","2600000","2025-06-21","2025-08-08","3434","2790","Garden View",""
"A11402394","1525","Cadiz Ave","Coral Gables","43","2699000","2655000","2655000","2023-08-09","2023-10-02","3582","3163","Pool Area View",""
"A11221782","6920","Camarin St","Coral Gables","93","2699000","2500000","2500000","2022-07-26","2022-08-25","2919","2919","Pool Area View",""
"A11812655","537","Marmore Ave","Coral Gables","84","2695000","2550000","2550000","2025-07-08","2025-07-30","3241","2537","Garden View",""
"A11680125","1130","Placetas Ave","Coral Gables","32","2675000","2550000","2550000","2024-11-23","2025-01-09","2866","2461","Garden View, Pool Area View",""
"A11618981","447","Alcazar Ave","Coral Gables","53","2650000","2300000","2300000","2024-09-13","2024-10-18","3704","3184","Garden View, Other View",""
"A11593437","1448","Blue Rd","Coral Gables","260","2650000","2530000","2530000","2025-03-31","2025-05-14","","3404","Garden View, Pool Area View",""
"A11535644","1301","Sorolla Ave","Coral Gables","64","2650000","2400000","2400000","2024-04-23","2024-06-10","3610","3610","Garden View",""
"A11625919","3620","Harlano St","Coral Gables","1","2649000","2525000","2525000","2024-07-19","2024-08-14","3453","2535","Garden View",""
"A11790457","516","Majorca Ave","Coral Gables","17","2620000","2660000","2660000","2025-05-22","2025-05-23","2810","2344","Other View",""
"A11548616","1519","Robbia Ave","Coral Gables","9","2595000","2500000","2500000","2024-03-20","2024-04-19","3117","2745","Garden View",""
"A11808351","3245","Riviera Dr","Coral Gables","13","2590000","2590000","2590000","2025-06-05","2025-08-14","2904","2469","Garden View",""
"A11587547","1449","Robbia Ave","Coral Gables","106","2575000","2500000","2500000","2024-06-07","2024-07-26","","3149","Garden View",""
"A11535525","1221","Andora Ave","Coral Gables","39","2575000","2500000","2500000","2024-03-30","2024-05-28","2895","2456","None",""
"A11482724","727","Jeronimo Dr","Coral Gables","7","2550000","2480000","2480000","2023-11-20","2023-12-22","3547","2651","Garden View, Pool Area View",""
"A11475460","5614","Orduna Dr","Coral Gables","123","2550000","2416666","2416666","2024-03-04","2024-04-08","3125","2515","Garden View",""
"A11200643","513","Marmore Ave","Coral Gables","6","2550000","2695000","2695000","2022-05-16","2022-07-15","3696","3192","Garden View, Pool Area View",""
"A11274773","1539","Plasentia Ave","Coral Gables","147","2539900","2439000","2439000","2023-02-14","2023-03-20","2976","2279","Garden View, Pool Area View",""
"A11589890","1020","Placetas Ave","Coral Gables","62","2525000","2500000","2500000","2024-07-18","2024-07-29","2850","2292","Garden View, Pool Area View",""
"A11779102","6110","Maggiore St","Coral Gables","15","2500000","2500000","2500000","2025-04-22","2025-05-19","2676","2283","Other View",""
"A11766569","5530","Sardinia St","Coral Gables","79","2500000","2200000","2200000","2025-05-21","2025-06-13","3692","2635","Other View",""
"A11540990","5538","San Vicente St","Coral Gables","7","2500000","2500000","2500000","2024-03-06","2024-05-14","3179","2925","None",""
"A11539499","1037","Castile Ave","Coral Gables","72","2500000","2200000","2200000","2024-05-09","2024-06-04","3884","3346","None",""
"A11434058","700","Catalonia Ave","Coral Gables","11","2500000","2240000","2240000","2023-08-22","2023-10-05","2764","2100","Garden View",""
"A11341055","733","Camilo Ave","Coral Gables","83","2500000","2375000","2375000","2023-05-03","2023-06-26","3077","3077","Garden View",""
"A11179194","3903","Granada Blvd","Coral Gables","23","2500000","2400000","2400000","2022-04-20","2022-05-13","2945","2336","Garden View",""
"A11088446","5918","Mall Street","Coral Gables","165","2500000","2235000","2235000","2022-02-15","2022-04-01","3565","3013","Garden View, Pool Area View",""
"A11745971","119","Camilo Ave","Coral Gables","96","2499000","2325000","2325000","2025-05-30","2025-08-01","4066","3005","Pool Area View",""
"A11563950","1510","Ferdinand St","Coral Gables","192","2499000","2325000","2325000","2024-11-11","2024-12-09","4448","3375","Garden View",""
"A11474696","911","Aduana Ave","Coral Gables","94","2499000","2228000","2228000","2023-11-13","2023-11-27","2956","2450","Garden View",""
"A11765052","1207","Aduana Ave","Coral Gables","0","2495000","2375000","2375000","2025-03-17","2025-06-24","3052","2402","Garden View",""
"A11531116","915","Placetas Ave","Coral Gables","16","2495000","2380000","2380000","2024-03-01","2024-04-30","2671","2611","Garden View",""
"A11289492","1424","Algardi Ave","Coral Gables","44","2495000","2450000","2450000","2022-11-30","2022-12-21","4054","2870","None",""
"A11254056","4980","San Amaro Dr","Coral Gables","264","2495000","2400000","2400000","2023-02-21","2023-04-04","3604","3032","Garden View",""
"A11227634","722","Aledo Ave","Coral Gables","53","2495000","2200000","2200000","2022-07-24","2022-08-19","3007","2537","Garden View",""
"A11145765","1424","Algardi Ave","Coral Gables","26","2495000","2500000","2500000","2022-02-08","2022-03-22","4054","2870","Pool Area View",""
"A11788431","2325","Alhambra Cir","Coral Gables","10","2490000","2450000","2450000","2025-05-02","2025-06-26","4072","3214","Garden View, Pool Area View",""
"A11487793","514","San Esteban Ave","Coral Gables","104","2450000","2250000","2250000","2024-02-28","2024-07-29","2925","2509","Other View",""
"A11334207","6103","Riviera Dr","Coral Gables","5","2450000","2400000","2400000","2023-02-06","2023-03-16","3416","2578","Garden View",""
"A11419265","1341","Sorolla Ave.","Coral Gables","362","2400000","2400000","2400000","2023-07-16","2023-08-15","","2352","Garden View",""
"A11285471","647","Zamora Ave","Coral Gables","59","2400000","2400000","2400000","2023-04-07","2023-05-30","3743","2893","Garden View, Pool Area View",""
"A11193366","500","Alcazar Ave","Coral Gables","29","2400000","2275000","2275000","2022-05-21","2022-06-27","2733","2733","Garden View",""
"A11168240","1710","Hernando St","Coral Gables","52","2400000","2450000","2450000","2022-04-23","2022-05-09","2902","2526","Garden View, Other View",""
"A11169074","1222","Coral Way","Coral Gables","262","2399900","1975000","1975000","2022-11-21","2022-12-29","3056","2218","Garden View",""
"A11572542","525","Jeronimo Dr","Coral Gables","11","2399000","2460000","2460000","2024-04-30","2024-06-04","2770","2185","Garden View, Pool Area View",""
"A11191444","4841","Biltmore Dr","Coral Gables","3","2399000","2399000","2399000","2022-04-21","2022-05-20","2276","2276","Pool Area View",""
"A11616248","4815","Alhambra Cir","Coral Gables","45","2398000","2275000","2275000","2024-07-26","2024-08-22","3150","2422","Garden View, Pool Area View",""
"A11475417","917","Majorca Ave","Coral Gables","6","2395000","2405000","2405000","2023-10-31","2023-12-15","3233","2312","Garden View, Pool Area View",""
"A11198153","1115","Manati Ave","Coral Gables","6","2390000","2620000","2620000","2022-05-09","2022-06-13","3354","2929","Garden View, Pool Area View",""
